msoa21_code,osm_id,travel_time_mins
W02000006,11939820207,7.933333333333334
W02000006,3948705385,30.85
W02000006,12362056123,67.45
W02000006,11939801094,7.933333333333334
W02000006,5591952289,82.11666666666666
W02000006,12362056110,67.45
W02000006,1704861629,48.46666666666667
W02000006,12362056121,67.45
W02000006,11939820206,7.933333333333334
W02000006,767455169,94.06666666666666
W02000006,1704861619,48.46666666666667
W02000006,11816108218,40.1
W02000006,12362056122,67.45
W02000006,11816108222,40.1
W02000006,12362056115,67.45
W02000006,12027972288,47.8
W02000006,1704861633,48.46666666666667
W02000006,12362056114,67.45
W02000006,11816108221,40.1
W02000006,12362056117,67.45
W02000006,12362056111,67.45
W02000006,4834788781,36.2
W02000006,1704861608,48.46666666666667
W02000006,4834788779,36.2
W02000006,12362056119,67.45
W02000006,11816108220,40.1
W02000006,4536284576,47.8
W02000006,4834788778,36.2
W02000006,4834788780,36.2
W02000006,1704861610,48.46666666666667
W02000006,11816108216,40.1
W02000006,11816108217,40.1
W02000006,11975116133,48.46666666666667
W02000006,1704861640,48.46666666666667
W02000006,12362056120,67.45
W02000006,12027972286,47.8
W02000006,12362056112,67.45
W02000006,12362056113,67.45
W02000006,12362056116,67.45
W02000006,12362056118,67.45
W02000006,11939801093,7.933333333333334
W02000006,11816108219,40.1
W02000006,12027972289,47.8
W02000003,11939820207,47.03333333333333
W02000003,3948705385,28.833333333333332
W02000003,12362056123,89.83333333333333
W02000003,11939801094,47.03333333333333
W02000003,5591952289,39.5
W02000003,12362056110,89.83333333333333
W02000003,1704861629,4.55
W02000003,12362056121,89.83333333333333
W02000003,11939820206,47.03333333333333
W02000003,767455169,51.45
W02000003,1704861619,4.55
W02000003,11816108218,48.6
W02000003,12362056122,89.83333333333333
W02000003,11816108222,48.6
W02000003,12362056115,89.83333333333333
W02000003,12027972288,3.8833333333333333
W02000003,1704861633,4.55
W02000003,12362056114,89.83333333333333
W02000003,11816108221,48.6
W02000003,12362056117,89.83333333333333
W02000003,12362056111,89.83333333333333
W02000003,4834788781,10
W02000003,1704861608,4.55
W02000003,4834788779,10
W02000003,12362056119,89.83333333333333
W02000003,11816108220,48.6
W02000003,4536284576,3.8833333333333333
W02000003,4834788778,10
W02000003,4834788780,10
W02000003,1704861610,4.55
W02000003,11816108216,48.6
W02000003,11816108217,48.6
W02000003,11975116133,4.55
W02000003,1704861640,4.55
W02000003,12362056120,89.83333333333333
W02000003,12027972286,3.8833333333333333
W02000003,12362056112,89.83333333333333
W02000003,12362056113,89.83333333333333
W02000003,12362056116,89.83333333333333
W02000003,12362056118,89.83333333333333
W02000003,11939801093,47.03333333333333
W02000003,11816108219,48.6
W02000003,12027972289,3.8833333333333333
W02000008,11939820207,40.95
W02000008,3948705385,20.05
W02000008,12362056123,30.25
W02000008,11939801094,40.95
W02000008,5591952289,141.05
W02000008,12362056110,30.25
W02000008,1704861629,74.6
W02000008,12362056121,30.25
W02000008,11939820206,40.95
W02000008,767455169,80.23333333333333
W02000008,1704861619,74.6
W02000008,11816108218,18.966666666666665
W02000008,12362056122,30.25
W02000008,11816108222,18.966666666666665
W02000008,12362056115,30.25
W02000008,12027972288,73.93333333333334
W02000008,1704861633,74.6
W02000008,12362056114,30.25
W02000008,11816108221,18.966666666666665
W02000008,12362056117,30.25
W02000008,12362056111,30.25
W02000008,4834788781,62.7
W02000008,1704861608,74.6
W02000008,4834788779,62.7
W02000008,12362056119,30.25
W02000008,11816108220,18.966666666666665
W02000008,4536284576,73.93333333333334
W02000008,4834788778,62.7
W02000008,4834788780,62.7
W02000008,1704861610,74.6
W02000008,11816108216,18.966666666666665
W02000008,11816108217,18.966666666666665
W02000008,11975116133,74.6
W02000008,1704861640,74.6
W02000008,12362056120,30.25
W02000008,12027972286,73.93333333333334
W02000008,12362056112,30.25
W02000008,12362056113,30.25
W02000008,12362056116,30.25
W02000008,12362056118,30.25
W02000008,11939801093,40.95
W02000008,11816108219,18.966666666666665
W02000008,12027972289,73.93333333333334
W02000004,11939820207,47.483333333333334
W02000004,3948705385,38.56666666666667
W02000004,12362056123,117.38333333333334
W02000004,11939801094,47.483333333333334
W02000004,5591952289,35.6
W02000004,12362056110,117.38333333333334
W02000004,1704861629,20.233333333333334
W02000004,12362056121,117.38333333333334
W02000004,11939820206,47.483333333333334
W02000004,767455169,47.55
W02000004,1704861619,20.233333333333334
W02000004,11816108218,55.516666666666666
W02000004,12362056122,117.38333333333334
W02000004,11816108222,55.516666666666666
W02000004,12362056115,117.38333333333334
W02000004,12027972288,19.566666666666666
W02000004,1704861633,20.233333333333334
W02000004,12362056114,117.38333333333334
W02000004,11816108221,55.516666666666666
W02000004,12362056117,117.38333333333334
W02000004,12362056111,117.38333333333334
W02000004,4834788781,10.316666666666666
W02000004,1704861608,20.233333333333334
W02000004,4834788779,10.316666666666666
W02000004,12362056119,117.38333333333334
W02000004,11816108220,55.516666666666666
W02000004,4536284576,19.566666666666666
W02000004,4834788778,10.316666666666666
W02000004,4834788780,10.316666666666666
W02000004,1704861610,20.233333333333334
W02000004,11816108216,55.516666666666666
W02000004,11816108217,55.516666666666666
W02000004,11975116133,20.233333333333334
W02000004,1704861640,20.233333333333334
W02000004,12362056120,117.38333333333334
W02000004,12027972286,19.566666666666666
W02000004,12362056112,117.38333333333334
W02000004,12362056113,117.38333333333334
W02000004,12362056116,117.38333333333334
W02000004,12362056118,117.38333333333334
W02000004,11939801093,47.483333333333334
W02000004,11816108219,55.516666666666666
W02000004,12027972289,19.566666666666666
W02000021,2901741427,151.86666666666667
W02000021,12136023366,148.61666666666667
W02000021,9661534034,47.016666666666666
W02000021,9878971231,16.983333333333334
W02000021,460674886,14.183333333333334
W02000021,4057371699,69.63333333333334
W02000021,2284615375,152.03333333333333
W02000021,12136023368,148.61666666666667
W02000021,9661534040,47.016666666666666
W02000021,4575260542,97.26666666666667
W02000021,1674001369,143
W02000021,8949714378,72.13333333333334
W02000021,1543126537,143.46666666666667
W02000021,4057371714,69.63333333333334
W02000021,2261812665,28.616666666666667
W02000021,1499323393,132.8
W02000021,6456628221,51.5
W02000021,9861340666,16.983333333333334
W02000021,12136023365,148.61666666666667
W02000021,3756475289,54.5
W02000021,2348026187,14.333333333333334
W02000021,12164152579,151.86666666666667
W02000021,1543126518,143
W02000021,9861340663,16.983333333333334
W02000021,6167189542,20.483333333333334
W02000021,7934889978,148.61666666666667
W02000021,2348026178,14.333333333333334
W02000021,8949714311,72.13333333333334
W02000021,8949714379,72.13333333333334
W02000021,4057371700,69.63333333333334
W02000021,8949714380,72.13333333333334
W02000021,2348026182,14.333333333333334
W02000021,10882086208,37.55
W02000021,460019655,31.666666666666668
W02000021,434568876,101.78333333333333
W02000021,8949714386,72.13333333333334
W02000021,2261812592,28.616666666666667
